# CSV-File created with merge-csv.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Passive forensic method for detecting duplicated regions affected by reflection, rotation and scaling",S. Bravo-Solorio; A. K. Nandi,"Department of Electrical Eng. & Electronics, University of Liverpool, Brownlow Hill, Liverpool, UK; Department of Electrical Eng. & Electronics, University of Liverpool, Brownlow Hill, Liverpool, UK",2009 17th European Signal Processing Conference,06-Apr-15,2009,,,824,828,"Most of the existing forensic methods aimed at detecting duplicated regions in images are sensitive to geometrical changes in the replicated areas. Consequently, a simple reflection/rotation of the copied region could be used to not only suit the scene of the image, but also hinder its proper detection. In this paper, we propose a novel forensic method to detect duplicated regions, even when the copied portion have experienced reflection, rotation or scaling. To achieve this, overlapping blocks of pixels are re-sampled into log-polar coordinates, and then summed along the angle axis, to obtain a one-dimensional descriptor invariant to reflection and rotation. Moreover, scaling in rectangular coordinates results in a simple translation of the descriptor. This approach allows us to perform an efficient search of similar blocks, by means of the correlation coefficient of its Fourier magnitudes. Results are presented to demonstrate the effectiveness of the proposed method.",,978-161-7388-76-7,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7077648,,Forgery;Abstracts;Forensics,,1,,10,,06-Apr-15,24-28 Aug. 2009,24-28 Aug. 2009,IEEE,IEEE Conferences
OleDetection Forensics and Anti-forensics of Steganography in OLE2-Formatted Documents,R. F. Erbacher; J. Daniels; S. Montiero,"Computer Science Department, University of Utah, Logan, UT, USA; Computer Science Department, University of Utah, Logan, UT, USA; Computer Science Department, University of Utah, Logan, UT, USA",2009 Fourth International IEEE Workshop on Systematic Approaches to Digital Forensic Engineering,01-Dec-09,2009,,,85,96,"New and improved data hiding techniques pose a problem for forensic analysts investigating computer crime. Computer criminals are able to hide information using stego-channels available in commonly used document formats, thereby hindering an investigator from acquiring possibly important evidence. In this paper, we focus on detecting the use of stego-channels in the unused or dead space regions in the Object Linking and Embedding 2 (OLE2) specification used primarily by Microsoft's Office. The OleDetection algorithm presented in this paper is focused on detecting the use of these stego-channels using a three-step process comprising the detection of dead regions in a document, the extraction of binary data and the generation of appropriate statistics using kurtosis and byte-frequency distribution, and the comparison of the calculated statistics with threshold values, which determines whether or not the document contains hidden data. This algorithm extends the work done by the StegOle algorithm. Our experimental results show that the OleDetection algorithm can correctly identify 99.97 percent of documents with previous stego-channel techniques with a false positive rate of only 0.65 percent. In addition, we present an anti-forensic technique wherein OLE2 documents can be modified to hide data with greater detection avoidance characteristics; thus reducing the accuracy of the current OleDetection implementation.",,978-0-7695-3792-4,10.1109/SADFE.2009.18,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5341560,Forensics;Anti-Forensics;steganography;Covert Channels;OLE2,Steganography;Digital forensics;Conferences;Data engineering;Data encapsulation;Statistical distributions;Computer science;Computer crime;Object detection;Joining processes,,,1,20,IEEE,01-Dec-09,21-21 May 2009,21-21 May 2009,IEEE,IEEE Conferences
Digital Image Forgery Forensics by Using Blur Estimation and Abnormal Hue Detection,F. Peng; X. -l. Wang,"College of Computer and Communication, Hunan University, Changsha, China; College of Computer and Communication, Hunan University, Changsha, China",2010 Symposium on Photonics and Optoelectronics,08-Jul-10,2010,,,1,4,"A digital image forgery forensics scheme by using blur estimation and abnormal hue is proposed in this paper. For blur operation is a commonly used means to retouch in image forgery, detection of artificial blur is essential to the forensics of image forgery. Moreover, the blur operation also destroys the joint consistency of color channels in the image. Based on this principles, blur estimation is done to the image and obtain the blur region, and exactly locate the artificial blur region by detect the abnormal hue in the blur region. Experimental results and analysis show that the proposed method has a good performance in detecting the artificial blur, and can accurately locate the blur region in image forgery.",2156-8480,978-1-4244-4963-7,10.1109/SOPO.2010.5504476,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5504476,,Digital images;Forgery;Forensics;Image edge detection;Image analysis;Performance analysis;Watermarking;Digital signatures;Educational institutions;Partial response channels,,11,,7,IEEE,08-Jul-10,19-21 June 2010,19-21 June 2010,IEEE,IEEE Conferences
Survey on passive methods of image tampering detection,G. R. E. J.; A. T.S.; M. S. S.,"Department of CSE, Anna University, Coimbatore, India; Sri Krishna College of Engineering and Technology,, Coimbatore, India; Sri Krishna College of Engineering and Technology,, Coimbatore, India",2010 International Conference on Communication and Computational Intelligence (INCOCCI),24-Mar-11,2010,,,431,436,"Image security is a key issue in any field that makes use of digital images. Images have long been a part of forensic studies and law enforcement; for example images of criminals, images of crime scenes, biometric images, etc. With the advancement in digital imaging the usage of digital images in this particular field has become more pronounced. The huge development in digital image processing, as much as it has helped in the evolution of many new techniques in forensic studies, has also made image tampering easy. With the commercial availability of many state-of-the-art image editing tools, the authenticity of digital images has become a question. So the requirement of image tampering detection tools has been made inevitable. This paper presents a brief review of some of the latest passive tampering detection methods. A passive method is capable of detecting image forgery without any prior information about the image or its source and it detects tampering by identifying changes in the image properties like inconsistencies in lighting and changes in the mathematical properties of a raw digital image.",,978-81-8371-369-6,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5738769,Image Forensics;Image tampering;Image fakery;Forgery Detection;Image Authentication,Digital images;Noise;Splicing;Forensics;Image color analysis;Forgery;Transform coding,,4,,8,,24-Mar-11,27-29 Dec. 2010,27-29 Dec. 2010,IEEE,IEEE Conferences
Attribution of Messages to Sources in Digital Forensics Cases,F. B. Cohen,"California Sciences Institute, USA",2010 43rd Hawaii International Conference on System Sciences,11-Mar-10,2010,,,1,10,"This paper presents advances in and limits on the attribution of messages to sources in digital forensics cases. It overviews current attribution technologies, the limits of those technologies, identifies ways in which attributions are made today and their limits, and discusses available methods for attribution within the legal system and the limits of digital forensic evidence for use in these purposes. It then presents a set of tools for message attribution now in use and identifies how they are being used and the limits of their applicability to forensics. The present and historical situation show a need for improved attribution, and clearly there is a long way to go before a sound scientific basis for attributions of messages to sources will be definitive.",1530-1605,978-1-4244-5510-2,10.1109/HICSS.2010.75,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5428498,,Digital forensics;Forgery;Computer networks;Law;Legal factors;Authentication;Information analysis;Biometrics;Timing;Failure analysis,,1,,22,IEEE,11-Mar-10,5-8 Jan. 2010,5-8 Jan. 2010,IEEE,IEEE Conferences
Detection of audio interpolation based on singular value decomposition,Qian Shi; Xiaohong Ma,"Information and Communication Engineering Institute, Dalian University of Technology, Dalian, China; Information and Communication Engineering Institute, Dalian University of Technology, Dalian, China",2011 3rd International Conference on Awareness Science and Technology (iCAST),05-Mar-12,2011,,,287,290,"Interpolation attack, as a kind of tampering manipulation, is a common issue in digital audio forgeries. A new blind forensic approach for detecting interpolation forgery is proposed in this paper. As interpolation can lead to the statistical changes in the linear dependencies among digital audio sample points, singular value decomposition which can well express linear dependencies is used in the method. After audio is analyzed by singular value decomposition, a feature, counting the average number of zero singular values, is produced to describe the statistical changes. The proposed method based on singular value decomposition can locate the interpolation forgeries simply and fast compared to existing methods. The experiments conducted demonstrate the validity of the proposed method.",2325-5994,978-1-4577-0888-6,10.1109/ICAwST.2011.6163157,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6163157,audio authenticity;interpolation;singular value decomposition,Computer languages;Interpolation;Strontium,,1,,9,IEEE,05-Mar-12,27-30 Sept. 2011,27-30 Sept. 2011,IEEE,IEEE Conferences
Understanding geometric manipulations of images through bovw-based hashing,S. Battiato; G. M. Farinella; E. Messina; G. Puglisi,"Image Processing Laboratory, Universita Catania, Italy; Image Processing Laboratory, Universita Catania, Italy; Image Processing Laboratory, Universita Catania, Italy; Image Processing Laboratory, Universita Catania, Italy",2011 IEEE International Conference on Multimedia and Expo,05-Sep-11,2011,,,1,6,"The increasing use of low cost imaging devices and the innovations in terms of media distribution technologies induce a growing interest on technologies able to protect digital visual media against malicious manipulations of the visual contents. One of the main problems addressed in this research area is the blind detection of traces of forgery on an image obtained through the internet. Specifically, in this paper we consider the context of communications, where malicious image manipulations should be detected by a receiver. In the proposed method, an image hash based on the Bag of Visual Words paradigm is attached as signature to the image before transmission. The forensic hash is then analyzed at destination to detect the geometric transformations which have been applied to the received image. This task is fundamental for further processing which usually assumes that the received image is aligned with the original one, as in the case of tampering detection systems. Experiments show that the proposed approach outperforms state-of-the art methods by obtaining a good margin in terms of performances.",1945-788X,978-1-61284-350-6,10.1109/ICME.2011.6012160,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6012160,Image forensics;Forensic hash;Bag of Visual Word;Tampering;Geometric transformations;Image validation and authentication,Visualization;Estimation;Histograms;Receivers;Feature extraction;Matched filters;Reliability;Media;Location awareness;Buildings,,8,,16,IEEE,05-Sep-11,11-15 July 2011,11-15 July 2011,IEEE,IEEE Conferences
Boundary Conditions for the Digital Forensic Use of Electronic Evidence and The Need for Forensic Counter-Analysis,M. M. Losavio; M. Hindi; R. Yampolskiy; D. W. Keeling,"Department of Justice Administration, University of Louisville, Louisville, KY, USA; Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA; Department of Computer Engineering and Computer Science, University of Louisville, Louisville, KY, USA; Department of Justice Administration, University of Louisville, Louisville, KY, USA",2011 Sixth IEEE International Workshop on Systematic Approaches to Digital Forensic Engineering,01-Mar-12,2011,,,1,6,"Network and Digital Forensics provide information about electronic activity in new, sometimes unprecedented forms. These new forms offer new, powerful tactical tools for investigations of electronic malfeasance when incorporated under traditional legal regulation of state power, particular that of Fourth Amendment limitations on police searches and seizures under the U.S. Constitution. These tactical tools raise issues of public policy and privacy that may raise concerns about the proper police oversight of civil society. How those issues are resolved will define personal privacy, autonomy and dignity in the 21st digital century.",,978-0-7695-4642-1,10.1109/SADFE.2011.2,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6159117,digital;network;forensics;probably cause;fourth amendment;privacy;autonomy;dignity,Computers;Privacy;Cryptography;Forensics;Electronic mail,,2,,18,IEEE,01-Mar-12,26-26 May 2011,26-26 May 2011,IEEE,IEEE Conferences
Steganographic Algorithm Injection in Image Information Systems Used in Healthcare Organizations,E. Martiri; A. Baxhaku; E. Barolli,"Department of Applied Informatics, FE, University of Tirana, Tirana, Albania; Department of Mathematics, Faculty of Natural Sciences, University of Tirana, Tirana, Albania; Department of Applied Informatics, FE, University of Tirana, Tirana, Albania",2011 Third International Conference on Intelligent Networking and Collaborative Systems,19-Jan-12,2011,,,408,411,"Image Information Systems, as every other information system where we store digital data, is frequently attacked by outer intruders who want to possess these data and use them to their interest. In order to fight these phenomena information systems built on databases use different security techniques. Nevertheless, at the moment that system data, in our case images, are exposed on the web, they cannot be considered protected, since they after the copy process do not show clearly their author. In this paper we offer a secure way regarding image authenticity. Steganography is the science of hiding data in electronic images and we propose a steganographic algorithm that injects image metadata in the image itself. These metadata are not only regarding the image itself, but an important part of them is also an ID generated according to our scheme. We will focus on IIS of Healthcare organizations. For this reason we will try to guaranty authenticity without touching the image quality. The proposed injection is tested in AMP systems and it is done prior the image is stored in the database.",,978-1-4577-1908-0,10.1109/INCoS.2011.149,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6132840,Steganography;Image Information Systems;authenticity;algorithm injection,Information systems;Organizations;Medical services;Security;Educational institutions;Biomedical imaging;Databases,,3,,8,IEEE,19-Jan-12,30 Nov.-2 Dec. 2011,30 Nov.-2 Dec. 2011,IEEE,IEEE Conferences
Hash-Algorithms Output for Digital Evidence in Computer Forensics,H. -J. Ke; J. Liu; S. -J. Wang; D. Goyal,"Information Management Office, Changhua County Police Bureau, Changhua, Taiwan; Department of Computer, Information Science and Engineering, University of Florida, USA; Department of Information Management, Central Police University, TaoYuan, Taiwan; Department of Electronics and Communication Engineering, LNM Institute of Information Technology, Jaipur, India","2011 International Conference on Broadband and Wireless Computing, Communication and Applications",15-Dec-11,2011,,,399,404,"With the fast developments in computer and internet connections going through the world, the high-tech crime problem is also companying with it on the way. Hash-algorithm is, basically, a crypto-function that enables to output a short-string for any possible input digital strings. One of its applications is able to be used in the field of computer forensics to authenticate the completeness of digital evidence. According to the collision-free nature of hash, any one minor change of strings in function input, the output-strings will be totally diverse. In this paper, we review the hash property and discuss the related applications in computer forensics to enhance the reliability of digital evidence in the investigation of computer crime-events.",,978-1-4577-1455-9,10.1109/BWCCA.2011.65,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6103065,Hash;Authentication;Digital Evidence;Computer Forensics;Cyber-crime,Forensics;Computers;Cryptography;Software;Benchmark testing;Reliability,,2,,12,IEEE,15-Dec-11,26-28 Oct. 2011,26-28 Oct. 2011,IEEE,IEEE Conferences
Anti-forensic Steganography Using Multi-bit Minimum Error Replacement with Flexible Bit Location,R. -J. Chen; J. -L. Lai; S. -J. Horng,"Department of Electronic Engineering, National United University, Miaoli, Taiwan; Department of Electronic Engineering, National United University, Miaoli, Taiwan; Department of Computer Science and Information Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan","2012 International Symposium on Computer, Consumer and Control",02-Jul-12,2012,,,175,178,"Multi-bit minimum error replacement (MER) is a method that can embed multi-bit logo/secret data into k least-significant bits (LSBs) of cover data only introduces minimum embedding error (MEE). However, k-LSBs MER suffers from weak anti-forensics. Moreover, it is unfortunate because no literature discusses the formulations and the properties of multi-bit MEE up to this day. Therefore, this work proposes an anti-forensic steganography system using multi-bit MERs with flexible bit location (multi-bit MER_FBL) to overcome the problem of forensics. This work also illustrates the formulations and properties of MEEs in the multi-bit MER_FBL. The embedding error can be easily and determinedly evaluated using the proposed formulations and properties. The proposed multi-bit MER_FBL embeds and hides multi-bit (k-bit, k≥1) logo/secret data into any adjoining (starting with the ith location) k-bit bibi-1 ··· bi-k+1 of cover data only introduces MEE in the range of 0 to ±(2k-1)2i-k; moreover, its flexible bit location enhances the embedded security as security increases as embedding location increases. As the proposed multi-bit MER_FBL can embed multi-bit logo/secret data into any adjoining bits of cover data and has high embedding capacity and high embedding quality, this method was applied for data steganography. Finally, anti-forensics of the proposed steganography system is demonstrated using the statistical attack of Chi-square analysis.",,978-1-4673-0767-3,10.1109/IS3C.2012.53,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6228276,anti-forensic;steganography;minimum error replacement,Security;Simulation;Generators;PSNR;Image color analysis;Forensics;Pattern recognition,,2,,6,IEEE,02-Jul-12,4-6 June 2012,4-6 June 2012,IEEE,IEEE Conferences
